Index,Variable
1,getCellAreaBbox
14,getCellAreaConvex
2405,getEnergyB
2405,getEnergyR
373,getH10R
390,getH10R
522,getH10R
578,getH10R
655,getH10R
1072,getH10R
1183,getH10R
1230,getH10R
1237,getH10R
1265,getH10R
1273,getH10R
1293,getH10R
1335,getH10R
1455,getH10R
1659,getH10R
1665,getH10R
1682,getH10R
1852,getH10R
1884,getH10R
2368,getH10R
1209,getH13B
1282,getH13B
1837,getH13B
1847,getH13B
1890,getH13B
1892,getH13B
1919,getH13B
1928,getH13B
92,getH1B
93,getH1B
188,getH1B
304,getH1B
395,getH1B
454,getH1B
774,getH1B
1332,getH1B
1820,getH1B
1832,getH1B
2229,getH1B
2249,getH1B
2341,getH1B
86,getH1R
93,getH1R
94,getH1R
228,getH1R
304,getH1R
373,getH1R
390,getH1R
401,getH1R
420,getH1R
522,getH1R
578,getH1R
591,getH1R
615,getH1R
655,getH1R
718,getH1R
926,getH1R
978,getH1R
1048,getH1R
1072,getH1R
1144,getH1R
1183,getH1R
1230,getH1R
1237,getH1R
1248,getH1R
1265,getH1R
1271,getH1R
1273,getH1R
1281,getH1R
1286,getH1R
1293,getH1R
1304,getH1R
1335,getH1R
1392,getH1R
1455,getH1R
1556,getH1R
1590,getH1R
1659,getH1R
1665,getH1R
1682,getH1R
1755,getH1R
1820,getH1R
1852,getH1R
1884,getH1R
1902,getH1R
2183,getH1R
2195,getH1R
2362,getH1R
2368,getH1R
2375,getH1R
1826,getH2R
1829,getH2R
373,getH5R
390,getH5R
1183,getH5R
1265,getH5R
1293,getH5R
1665,getH5R
1682,getH5R
1884,getH5R
2368,getH5R
1826,getH6B
1829,getH6B
1471,getH6R
1826,getH6R
1829,getH6R
373,getH8R
390,getH8R
578,getH8R
1230,getH8R
1237,getH8R
1265,getH8R
1273,getH8R
1293,getH8R
1665,getH8R
1852,getH8R
1884,getH8R
2368,getH8R
373,getH9R
390,getH9R
420,getH9R
1230,getH9R
1237,getH9R
1265,getH9R
1273,getH9R
1293,getH9R
1665,getH9R
1682,getH9R
1852,getH9R
1884,getH9R
2183,getH9R
2368,getH9R
1048,getNObjects
2405,getNObjects
2405,getNucleusArea
2405,getNucleusAreaBbox
2405,getNucleusAreaConvex
263,getNucleusSolidity
621,getNucleusSolidity
946,getNucleusSolidity
953,getNucleusSolidity
1083,getNucleusSolidity
1168,getNucleusSolidity
1177,getNucleusSolidity
1261,getNucleusSolidity
1328,getNucleusSolidity
1471,getNucleusSolidity
1826,getNucleusSolidity
1829,getNucleusSolidity
2360,getNucleusSolidity
1,clustering
4,clustering
14,clustering
17,clustering
22,clustering
31,clustering
39,clustering
54,clustering
55,clustering
65,clustering
69,clustering
72,clustering
80,clustering
86,clustering
92,clustering
93,clustering
94,clustering
110,clustering
144,clustering
188,clustering
189,clustering
263,clustering
304,clustering
306,clustering
321,clustering
328,clustering
331,clustering
373,clustering
376,clustering
388,clustering
390,clustering
395,clustering
396,clustering
401,clustering
410,clustering
411,clustering
420,clustering
427,clustering
430,clustering
445,clustering
454,clustering
459,clustering
479,clustering
491,clustering
496,clustering
517,clustering
522,clustering
578,clustering
582,clustering
583,clustering
585,clustering
588,clustering
591,clustering
614,clustering
615,clustering
621,clustering
634,clustering
638,clustering
655,clustering
753,clustering
759,clustering
766,clustering
774,clustering
786,clustering
788,clustering
873,clustering
924,clustering
925,clustering
926,clustering
946,clustering
953,clustering
956,clustering
975,clustering
1027,clustering
1048,clustering
1059,clustering
1072,clustering
1083,clustering
1084,clustering
1098,clustering
1101,clustering
1108,clustering
1114,clustering
1120,clustering
1121,clustering
1144,clustering
1158,clustering
1168,clustering
1177,clustering
1183,clustering
1189,clustering
1209,clustering
1230,clustering
1237,clustering
1261,clustering
1265,clustering
1273,clustering
1275,clustering
1293,clustering
1306,clustering
1328,clustering
1335,clustering
1392,clustering
1423,clustering
1434,clustering
1435,clustering
1437,clustering
1442,clustering
1455,clustering
1471,clustering
1556,clustering
1569,clustering
1577,clustering
1580,clustering
1606,clustering
1616,clustering
1618,clustering
1619,clustering
1627,clustering
1628,clustering
1636,clustering
1654,clustering
1659,clustering
1665,clustering
1682,clustering
1691,clustering
1694,clustering
1703,clustering
1711,clustering
1718,clustering
1735,clustering
1755,clustering
1762,clustering
1802,clustering
1808,clustering
1813,clustering
1818,clustering
1820,clustering
1826,clustering
1829,clustering
1832,clustering
1837,clustering
1852,clustering
1884,clustering
1888,clustering
1890,clustering
1892,clustering
1902,clustering
1919,clustering
1931,clustering
1940,clustering
2020,clustering
2023,clustering
2029,clustering
2034,clustering
2044,clustering
2054,clustering
2082,clustering
2093,clustering
2148,clustering
2165,clustering
2172,clustering
2174,clustering
2178,clustering
2183,clustering
2195,clustering
2229,clustering
2249,clustering
2263,clustering
2265,clustering
2304,clustering
2360,clustering
2368,clustering
2369,clustering
2376,clustering
2405,clustering
2413,clustering

